Date,Open,High,Low,Close,Adj Close,Volume,Log Daily Returns,Volume Change,30-Day Volatility
2000-04-06,11029.5595703125,11201.1396484375,11029.5595703125,11114.26953125,11114.26953125,161820000,0.0072556686444598,-0.14521155776240025,0.017529953574686535
2000-04-07,11122.0302734375,11192.4501953125,11062.76953125,11111.48046875,11111.48046875,156500000,-0.0002509757839119078,-0.03287603510072923,0.016829384757317923
2000-04-10,11114.8896484375,11287.7001953125,11097.2099609375,11186.5595703125,11186.5595703125,150070000,0.006734169026617942,-0.04108626198083065,0.01663782068154936
2000-04-11,11180.98046875,11361.150390625,11102.48046875,11287.080078125,11287.080078125,171130000,0.008945696356645017,0.14033451056173796,0.01663841424538977
2000-04-12,11283.0498046875,11425.4501953125,11116.75,11125.1298828125,11125.1298828125,234780000,-0.014452212826421873,0.371939461228306,0.016957909966417963
2000-04-13,11132.580078125,11144.0595703125,10920.759765625,10923.5498046875,10923.5498046875,200240000,-0.01828551166261738,-0.14711644944203084,0.01740190833507272
2000-04-14,10922.849609375,10922.849609375,10201.5302734375,10305.76953125,10305.76953125,267580000,-0.05821710410515053,0.33629644426687966,0.020303262777706395
2000-04-17,10303.2900390625,10583.75,10232.5498046875,10582.509765625,10582.509765625,247520000,0.02649872914546261,-0.07496823379923756,0.020542897048368952
2000-04-18,10584.01953125,10773.9296875,10571.33984375,10767.419921875,10767.419921875,218380000,0.01732228467594701,-0.11772786037491922,0.01937439584914332
2000-04-19,10748.9697265625,10789.4404296875,10632.150390625,10674.9599609375,10674.9599609375,193860000,-0.008624092521541326,-0.112281344445462,0.019482972996574123
2000-04-20,10668.1904296875,10845.2900390625,10665.08984375,10844.0498046875,10844.0498046875,158390000,0.01571571608366263,-0.18296708965232644,0.01948738391842227
2000-04-24,10822.330078125,10910.75,10695.4404296875,10906.099609375,10906.099609375,295330000,0.005705705449878584,0.8645747837616011,0.019384822702192456
2000-04-25,10916.650390625,11136.6103515625,10881.0400390625,11124.8203125,11124.8203125,240200000,0.019856446327125504,-0.18667253580740184,0.019621145969601548
2000-04-26,11127.919921875,11141.8798828125,10902.0595703125,10945.5,10945.5,198970000,-0.01625026334482329,-0.1716486261448793,0.0197029284361667
2000-04-27,10941.91015625,10941.91015625,10747.25,10888.099609375,10888.099609375,192920000,-0.005257999037765179,-0.03040659395888823,0.01901037229454988
2000-04-28,10892.759765625,10959.23046875,10715.2998046875,10733.91015625,10733.91015625,173520000,-0.014262510150111497,-0.10055981754094967,0.017160947120065242
2000-05-01,10749.419921875,10926.259765625,10724.2197265625,10811.7802734375,10811.7802734375,174020000,0.007228402032366667,0.0028815122176117924,0.017191679167830164
2000-05-02,10805.580078125,10824.5,10710.01953125,10731.1201171875,10731.1201171875,208610000,-0.007488363378115703,0.1987702562923801,0.017196798584899736
2000-05-03,10732.2099609375,10732.2099609375,10400.08984375,10480.1298828125,10480.1298828125,200220000,-0.02366687014378399,-0.0402185897128613,0.017261797222292787
2000-05-04,10478.8896484375,10523.099609375,10407.5302734375,10412.490234375,10412.490234375,169170000,-0.0064750025968666695,-0.15507941264608927,0.017282197644991566
